  main.cpp
C:\Proyects\3DGameEngine\olcConsoleGameEngine.h(759,13): warning C4267: 'initializing': conversion from 'size_t' to 'int', possible loss of data
C:\Proyects\3DGameEngine\olcConsoleGameEngine.h(1099,31): warning C4267: 'return': conversion from 'size_t' to 'unsigned int', possible loss of data
C:\Proyects\3DGameEngine\olcConsoleGameEngine.h(1196,4): warning C4312: 'type cast': conversion from 'DWORD' to 'olcConsoleGameEngine *' of greater size
C:\Proyects\3DGameEngine\App.cpp(635,38): warning C4267: '=': conversion from 'size_t' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,73): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,63): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,53): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,43): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,33): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(646,23): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(718,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(719,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(778,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\App.cpp(779,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
C:\Proyects\3DGameEngine\main.cpp(153,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(164,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(174,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(183,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(192,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(202,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(211,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(221,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(230,4): warning C4305: 'argument': truncation from 'double' to 'dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(967,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(968,33): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(968,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(970,32): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(970,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(971,33): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(971,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(973,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(974,33): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(974,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(976,30): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(976,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(977,33): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(977,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(979,36): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(979,29): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(979,22): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(980,35): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(980,28): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(980,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(982,35): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(982,28): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(982,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(983,35): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(983,28): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(983,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(985,31): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(985,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(986,35): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(986,28): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(986,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(988,31): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(988,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(989,34): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(989,27): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(989,21): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(991,32): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(991,24): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(992,35): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
C:\Proyects\3DGameEngine\main.cpp(992,28): warning C4305: 'argument': truncation from 'double' to 'const dynahex::real'
